Nat,Pokemon,HP,Atk,Def,SpA,SpD,Spe,Total,Type I,Type II,Ability I,Ability II,Hidden Ability,EV Worth,Gender,Egg Group I,Egg Group II,Catch,Evolve,Generation
22,Fearow,65,90,65,61,61,100,442,Normal,Flying,Keen Eye,,Sniper,2 Spe,Neutral,Flying,,90,Lv. 20,1
23,Ekans,35,60,44,40,54,55,288,Poison,,Intimidate,Shed Skin,Unnerve,1 Atk,Neutral,Field,Dragon,255,,1
24,Arbok,60,95,69,65,79,80,448,Poison,,Intimidate,Shed Skin,Unnerve,2 Atk,Neutral,Field,Dragon,90,Lv. 22,1
25,Pikachu,35,55,40,50,50,90,320,Electric,,Static,,Lightningrod,2 Spe,Neutral,Field,Fairy,190,Friendship,1
26,Raichu,60,90,55,90,80,110,485,Electric,,Static,,Lightningrod,3 Spe,Neutral,Field,Fairy,75,Thunderstone,1
27,Sandshrew,50,75,85,20,30,40,300,Ground,,Sand Veil,,Sand Rush,1 Def,Neutral,Field,,255,,1
28,Sandslash,75,100,110,45,55,65,450,Ground,,Sand Veil,,Sand Rush,2 Def,Neutral,Field,,90,Lv. 22,1
29,Nidoran ♀,55,47,52,40,40,41,275,Poison,,Poison Point,Rivalry,Hustle,1 HP,F (100%),Monster,Field,235,,1
30,Nidorina,70,62,67,55,55,56,365,Poison,,Poison Point,Rivalry,Hustle,2 HP,F (100%),-,,120,Lv. 16,1
31,Nidoqueen,90,92,87,75,85,76,505,Poison,Ground,Poison Point,Rivalry,Sheer Force,3 HP,F (100%),-,,45,Moon Stone,1
32,Nidoran ♂,46,57,40,40,40,50,273,Poison,,Poison Point,Rivalry,Hustle,1 Atk,M (100%),Monster,Field,235,,1
33,Nidorino,61,72,57,55,55,65,365,Poison,,Poison Point,Rivalry,Hustle,2 Atk,M (100%),Monster,Field,120,Lv. 16,1
34,Nidoking,81,102,77,85,75,85,505,Poison,Ground,Poison Point,Rivalry,Sheer Force,3 Atk,M (100%),Monster,Field,45,Moon Stone,1
35,Clefairy,70,45,48,60,65,35,323,Fairy,,Cute Charm,Magic Guard,Friend Guard,2 HP,F (75%),Fairy,,150,Friendship,1
36,Clefable,95,70,73,95,90,60,483,Fairy,,Cute Charm,Magic Guard,Unaware,3 HP,F (75%),Fairy,,25,Moon Stone,1
37,Vulpix,38,41,40,50,65,65,299,Fire,,Flash Fire,,Drought,1 Spe,F (75%),Field,,190,,1
38,Ninetales,73,76,75,81,100,100,505,Fire,,Flash Fire,,Drought,1 SpD/1 Spe,F (75%),Field,,75,Fire Stone,1
39,Jigglypuff,115,45,20,45,25,20,270,Normal,Fairy,Cute Charm,,Friend Guard,2 HP,F (75%),Fairy,,170,Friendship,1
40,Wigglytuff,140,70,45,85,50,45,435,Normal,Fairy,Cute Charm,,Frisk,3 HP,F (75%),Fairy,,50,Moon Stone,1
41,Zubat,40,45,35,30,40,55,245,Poison,Flying,Inner Focus,,Infiltrator,1 Spe,Neutral,Flying,,255,,1
42,Golbat,75,80,70,65,75,90,455,Poison,Flying,Inner Focus,,Infiltrator,2 Spe,Neutral,Flying,,90,Lv. 22,1
43,Oddish,45,50,55,75,65,30,320,Grass,Poison,Chlorophyll,,Run Away,1 SpA,Neutral,Grass,,255,,1
44,Gloom,60,65,70,85,75,40,395,Grass,Poison,Chlorophyll,,Stench,2 SpA/1 SpD,Neutral,Grass,,120,Lv. 22,1
45,Vileplume,75,80,85,110,90,50,490,Grass,Poison,Chlorophyll,,Effect Spore,3 SpA,Neutral,Grass,,45,Leaf Stone,1
46,Paras,35,70,55,45,55,25,285,Bug,Grass,Effect Spore,Dry Skin,Damp,1 Atk,Neutral,Bug,Grass,190,,1
47,Parasect,60,95,80,60,80,30,405,Bug,Grass,Effect Spore,Dry Skin,Damp,2 Atk/1 Def,Neutral,Bug,Grass,75,Lv. 24,1
48,Venonat,60,55,50,40,55,45,305,Bug,Poison,Compoundeyes,Tinted Lens,Run Away,1 SpD,Neutral,Bug,,190,,1
49,Venomoth,70,65,60,90,75,90,450,Bug,Poison,Shield Dust,Tinted Lens,Wonderskin,1 SpA/1 Spe,Neutral,Bug,,75,Lv. 31,1
50,Diglett,10,55,25,35,45,95,265,Ground,,Sand Veil,Arena Trap,Sand Force,1 Spe,Neutral,Field,,255,,1
51,Dugtrio,35,100,50,50,70,120,425,Ground,,Sand Veil,Arena Trap,Sand Force,2 Spe,Neutral,Field,,50,Lv. 26,1
52,Meowth,40,45,35,40,40,90,290,Normal,,Pickup,Technician,Unnerve,1 Spe,Neutral,Field,,255,,1
53,Persian,65,70,60,65,65,115,440,Normal,,Limber,Technician,Unnerve,2 Spe,Neutral,Field,,90,Lv. 28,1
54,Psyduck,50,52,48,65,50,55,320,Water,,Damp,Cloud Nine,Swift Swim,1 SpA,Neutral,Water 1,Field,190,,1
55,Golduck,80,82,78,95,80,85,500,Water,,Damp,Cloud Nine,Swift Swim,2 SpA,Neutral,Water 1,Field,75,Lv. 33,1
56,Mankey,40,80,35,35,45,70,305,Fighting,,Vital Spirit,Anger Point,Defiant,1 Atk,Neutral,Field,,190,,1
57,Primeape,65,105,60,60,70,95,455,Fighting,,Vital Spirit,Anger Point,Defiant,2 Atk,Neutral,Field,,75,Lv. 28,1
58,Growlithe,55,70,45,70,50,60,350,Fire,,Intimidate,Flash Fire,Justified,1 Atk,M (75%),Field,,190,,1
59,Arcanine,90,110,80,100,80,95,555,Fire,,Intimidate,Flash Fire,Justified,2 Atk,M (75%),Field,,75,Fire Stone,1
60,Poliwag,40,50,40,40,40,90,300,Water,,Water Absorb,Damp,Swift Swim,1 Spe,Neutral,Water 1,,255,,1
61,Poliwhirl,65,65,65,50,50,90,385,Water,,Water Absorb,Damp,Swift Swim,2 Spe,Neutral,Water 1,,120,Lv. 25,1
62,Poliwrath,90,95,95,70,90,70,510,Water,Fighting,Water Absorb,Damp,Swift Swim,3 Def,Neutral,Water 1,,45,Water Stone,1
63,Abra,25,20,15,105,55,90,310,Psychic,,Synchronize,Inner Focus,Magic Guard,1 SpA,M (75%),Human-Like,,200,,1
64,Kadabra,40,35,30,120,70,105,400,Psychic,,Synchronize,Inner Focus,Magic Guard,2 SpA,M (75%),Human-Like,,100,Lv. 16,1
65,Alakazam,55,50,45,135,95,120,500,Psychic,,Synchronize,Inner Focus,Magic Guard,3 SpA,M (75%),Human-Like,,50,Trade,1
66,Machop,70,80,50,35,35,35,305,Fighting,,Guts,No Guard,Steadfast,1 Atk,M (75%),Human-Like,,180,,1
67,Machoke,80,100,70,50,60,45,405,Fighting,,Guts,No Guard,Steadfast,2 Atk,M (75%),Human-Like,,90,Lv. 28,1
68,Machamp,90,130,80,65,85,55,505,Fighting,,Guts,No Guard,Steadfast,3 Atk,M (75%),Human-Like,,45,Trade,1
69,Bellsprout,50,75,35,70,30,40,300,Grass,Poison,Chlorophyll,,Gluttony,1 Atk,Neutral,Grass,,255,,1
70,Weepinbell,65,90,50,85,45,55,390,Grass,Poison,Chlorophyll,,Gluttony,2 Atk,Neutral,Grass,,120,Lv. 21,1
71,Victreebel,80,105,65,100,70,70,490,Grass,Poison,Chlorophyll,,Gluttony,3 Atk,Neutral,Grass,,45,Leaf Stone,1
72,Tentacool,40,40,35,50,100,70,335,Water,Poison,Clear Body,Liquid Ooze,Rain Dish,1 SpD,Neutral,Water 3,,190,,1
73,Tentacruel,80,70,65,80,120,100,515,Water,Poison,Clear Body,Liquid Ooze,Rain Dish,2 SpD,Neutral,Water 3,,60,Lv. 30,1
74,Geodude,40,80,100,30,30,20,300,Rock,Ground,Rock Head,Sturdy,Sand Veil,1 Def,Neutral,Mineral,,255,,1
75,Graveler,55,95,115,45,45,35,390,Rock,Ground,Rock Head,Sturdy,Sand Veil,2 Def,Neutral,Mineral,,120,Lv. 25,1
76,Golem,80,120,130,55,65,45,495,Rock,Ground,Rock Head,Sturdy,Sand Veil,3 Def,Neutral,Mineral,,45,Trade,1
77,Ponyta,50,85,55,65,65,90,410,Fire,,Run Away,Flash Fire,Flame Body,1 Spe,Neutral,Field,,190,,1
78,Rapidash,65,100,70,80,80,105,500,Fire,,Run Away,Flash Fire,Flame Body,1 Spe,Neutral,Field,,60,Lv. 40,1
79,Slowpoke,90,65,65,40,40,15,315,Water,Psychic,Oblivious,Own Tempo,Regenerator,1 HP,Neutral,Monster,Water 1,190,,1
80,Slowbro,95,75,110,100,80,30,490,Water,Psychic,Oblivious,Own Tempo,Regenerator,2 Def,Neutral,Monster,Water 1,75,Lv. 37,1
81,Magnemite,25,35,70,95,55,45,325,Electric,Steel,Magnet Pull,Sturdy,Analytic,1 SpA,None,Mineral,,190,,1
82,Magneton,50,60,95,120,70,70,465,Electric,Steel,Magnet Pull,Sturdy,Analytic,2 SpA,None,Mineral,,60,Lv. 30,1
83,Farfetch'd,52,90,55,58,62,60,377,Normal,Flying,Keen Eye,Inner Focus,Defiant,1 Atk,Neutral,Flying,Field,45,N,1
84,Doduo,35,85,45,35,35,75,310,Normal,Flying,Run Away,Early Bird,Tangled Feet,1 Atk,Neutral,Flying,,190,,1
85,Dodrio,60,110,70,60,60,110,470,Normal,Flying,Run Away,Early Bird,Tangled Feet,2 Atk,Neutral,Flying,,45,Lv. 31,1
86,Seel,65,45,55,45,70,45,325,Water,,Thick Fat,Hydration,Ice Body,1 SpD,Neutral,Water 1,Field,190,,1
87,Dewgong,90,70,80,70,95,70,475,Water,Ice,Thick Fat,Hydration,Ice Body,2 SpD,Neutral,Water 1,Field,75,Lv. 34,1
88,Grimer,80,80,50,40,50,25,325,Poison,,Stench,Sticky Hold,Poison Touch,1 HP,Neutral,Amorphous,,190,,1
89,Muk,105,105,75,65,100,50,500,Poison,,Stench,Sticky Hold,Poison Touch,1 HP/1 Atk,Neutral,Amorphous,,75,Lv. 38,1
90,Shellder,30,65,100,45,25,40,305,Water,,Shell Armor,Skill Link,Overcoat,1 Def,Neutral,Water 3,,190,,1
91,Cloyster,50,95,180,85,45,70,525,Water,Ice,Shell Armor,Skill Link,Overcoat,2 Def,Neutral,Water 3,,60,Water Stone,1
92,Gastly,30,35,30,100,35,80,310,Ghost,Poison,Levitate,,,1 SpA,Neutral,Amorphous,,190,,1
93,Haunter,45,50,45,115,55,95,405,Ghost,Poison,Levitate,,,2 SpA,Neutral,Amorphous,,90,Lv. 25,1
94,Gengar,60,65,60,130,75,110,500,Ghost,Poison,Cursed Body,,,3 SpA,Neutral,Amorphous,,45,Trade,1
95,Onix,35,45,160,30,45,70,385,Rock,Ground,Rock Head,Sturdy,Weak Armor,1 Def,Neutral,Mineral,,45,,1
96,Drowzee,60,48,45,43,90,42,328,Psychic,,Insomnia,Forewarn,Inner Focus,1 SpD,Neutral,Human-Like,,190,,1
97,Hypno,85,73,70,73,115,67,483,Psychic,,Insomnia,Forewarn,Inner Focus,2 SpD,Neutral,Human-Like,,75,Lv. 26,1
98,Krabby,30,105,90,25,25,50,325,Water,,Hyper Cutter,Shell Armor,Sheer Force,1 Atk,Neutral,Water 3,,225,,1
99,Kingler,55,130,115,50,50,75,475,Water,,Hyper Cutter,Shell Armor,Sheer Force,2 Atk,Neutral,Water 3,,60,Lv. 28,1
100,Voltorb,40,30,50,55,55,100,330,Electric,,Soundproof,Static,Aftermath,1 Spe,None,Mineral,,190,,1
101,Electrode,60,50,70,80,80,150,490,Electric,,Soundproof,Static,Aftermath,2 Spe,None,Mineral,,60,Lv. 30,1
102,Exeggcute,60,40,80,60,45,40,325,Grass,Psychic,Chlorophyll,,Harvest,1 Def,Neutral,Grass,,90,,1
103,Exeggutor,95,95,85,125,75,55,530,Grass,Psychic,Chlorophyll,,Harvest,2 SpA,Neutral,Grass,,45,Leaf Stone,1
104,Cubone,50,50,95,40,50,35,320,Ground,,Rock Head,Lightningrod,Battle Armor,1 Def,Neutral,Monster,,190,,1
105,Marowak,60,80,110,50,80,45,425,Ground,,Rock Head,Lightningrod,Battle Armor,2 Def,Neutral,Monster,,75,Lv. 28,1
106,Hitmonlee,50,120,53,35,110,87,455,Fighting,,Limber,Reckless,Unburden,2 Atk,M (100%),Human-Like,,45,Lv. 20 (Atk>Def),1
107,Hitmonchan,50,105,79,35,110,76,455,Fighting,,Keen Eye,Iron Fist,Inner Focus,2 SpD,M (100%),Human-Like,,45,Lv. 20 (Atk<Def),1
108,Lickitung,90,55,75,60,75,30,385,Normal,,Own Tempo,Oblivious,Cloud Nine,2 HP,Neutral,Monster,,45,,1
109,Koffing,40,65,95,60,45,35,340,Poison,,Levitate,Neutralizing Gas,Stench,1 Def,Neutral,Amorphous,,190,,1
110,Weezing,65,90,120,85,70,60,490,Poison,,Levitate,Neutralizing Gas,Stench,2 Def,Neutral,Amorphous,,60,Lv. 35,1
111,Rhyhorn,80,85,95,30,30,25,345,Ground,Rock,Lightningrod,Rock Head,Reckless,1 Def,Neutral,Monster,Field,120,,1
112,Rhydon,105,130,120,45,45,40,485,Ground,Rock,Lightningrod,Rock Head,Reckless,2 Atk,Neutral,Monster,Field,60,Lv. 42,1
113,Chansey,250,5,5,35,105,50,450,Normal,,Natural Cure,Serene Grace,Healer,2 HP,F (100%),Fairy,,30,Morn/Day Fr. h/ Oval Stone,1
114,Tangela,65,55,115,100,40,60,435,Grass,,Chlorophyll,Leaf Guard,Regenerator,1 Def,Neutral,Grass,,45,,1
115,Kangaskhan,105,95,80,40,80,90,490,Normal,,Early Bird,Scrappy,Inner Focus,2 HP,F (100%),Monster,,45,N,1
116,Horsea,30,40,70,70,25,60,295,Water,,Swift Swim,Sniper,Damp,1 SpA,Neutral,Water 1,Dragon,225,,1
117,Seadra,55,65,95,95,45,85,440,Water,,Poison Point,Sniper,Damp,1 Def/1 SpA,Neutral,Water 1,Dragon,75,Lv. 32,1
118,Goldeen,45,67,60,35,50,63,320,Water,,Swift Swim,Water Veil,Lightningrod,1 Atk,Neutral,Water 2,,225,,1
119,Seaking,80,92,65,65,80,68,450,Water,,Swift Swim,Water Veil,Lightningrod,2 Atk,Neutral,Water 2,,60,Lv. 33,1
120,Staryu,30,45,55,70,55,85,340,Water,,Illuminate,Natural Cure,Analytic,1 Spe,None,Water 3,,225,,1
121,Starmie,60,75,85,100,85,115,520,Water,Psychic,Illuminate,Natural Cure,Analytic,2 Spe,None,Water 3,,60,Water Stone,1
122,Mr. Mime,40,45,65,100,120,90,460,Psychic,Fairy,Soundproof,Filter,Technician,2 SpD,Neutral,Human-Like,,45,Level w/ Mimic,1
123,Scyther,70,110,80,55,80,105,500,Bug,Flying,Swarm,Technician,Steadfast,1 Atk,Neutral,Bug,,45,,1
124,Jynx,65,50,35,115,95,95,455,Ice,Psychic,Oblivious,Forewarn,Dry Skin,2 SpA,F (100%),Human-Like,,45,Lv. 30,1
125,Electabuzz,65,83,57,95,85,105,490,Electric,,Static,,Vital Spirit,2 Spe,M (75%),Human-Like,,45,Lv. 30,1
126,Magmar,65,95,57,100,85,93,495,Fire,,Flame Body,,Vital Spirit,2 SpA,M (75%),Human-Like,,45,Lv. 30,1
127,Pinsir,65,125,100,55,70,85,500,Bug,,Hyper Cutter,Mold Breaker,Moxie,2 Atk,Neutral,Bug,,45,N,1
128,Tauros,75,100,95,40,70,110,490,Normal,,Intimidate,Anger Point,Sheer Force,1 Atk/1 Spe,M (100%),Field,,45,N,1
129,Magikarp,20,10,55,15,20,80,200,Water,,Swift Swim,,Rattled,1 Spe,Neutral,Water 2,Dragon,255,,1
130,Gyarados,95,125,79,60,100,81,540,Water,Flying,Intimidate,,Moxie,2 Atk,Neutral,Water 2,Dragon,45,Lv. 20,1
131,Lapras,130,85,80,85,95,60,535,Water,Ice,Water Absorb,Shell Armor,Hydration,2 HP,Neutral,Monster,Water 1,45,N,1
132,Ditto,48,48,48,48,48,48,288,Normal,,Limber,,Imposter,1 HP,None,Ditto,,35,N,1
133,Eevee,55,55,50,45,65,55,325,Normal,,Run Away,Adaptability,Anticipation,1 SpD,M (87.5%),Field,,45,,1
134,Vaporeon,130,65,60,110,95,65,525,Water,,Water Absorb,,Hydration,2 HP,M (87.5%),Field,,45,Water Stone,1
135,Jolteon,65,65,60,110,95,130,525,Electric,,Volt Absorb,,Quick Feet,2 Spe,M (87.5%),Field,,45,Thunderstone,1
136,Flareon,65,130,60,95,110,65,525,Fire,,Flash Fire,,Guts,2 Atk,M (87.5%),Field,,45,Fire Stone,1
137,Porygon,65,60,70,85,75,40,395,Normal,,Trace,Download,Analytic,1 SpA,None,Mineral,,45,,1
138,Omanyte,35,40,100,90,55,35,355,Rock,Water,Swift Swim,Shell Armor,Weak Armor,1 Def,M (87.5%),Water 1,Water 3,45,,1
139,Omastar,70,60,125,115,70,55,495,Rock,Water,Swift Swim,Shell Armor,Weak Armor,2 Def,M (87.5%),Water 1,Water 3,45,Lv. 40,1
140,Kabuto,30,80,90,55,45,55,355,Rock,Water,Swift Swim,Battle Armor,Weak Armor,1 Def,M (87.5%),Water 1,Water 3,45,,1
141,Kabutops,60,115,105,65,70,80,495,Rock,Water,Swift Swim,Battle Armor,Weak Armor,2 Atk,M (87.5%),Water 1,Water 3,45,Lv. 40,1
142,Aerodactyl,80,105,65,60,75,130,515,Rock,Flying,Rock Head,Pressure,Unnerve,2 Spe,M (87.5%),Flying,,45,N,1
143,Snorlax,160,110,65,65,110,30,540,Normal,,Immunity,Thick Fat,Gluttony,2 HP,M (87.5%),Monster,,25,Friendship,1
144,Articuno,90,85,100,95,125,85,580,Ice,Flying,Pressure,,Snow Cloak,3 SpD,None,-,,3,N,1
145,Zapdos,90,90,85,125,90,100,580,Electric,Flying,Pressure,,Static,3 SpA,None,-,,3,N,1
146,Moltres,90,100,90,125,85,90,580,Fire,Flying,Pressure,,Flame Body,3 SpA,None,-,,3,N,1
147,Dratini,41,64,45,50,50,50,300,Dragon,,Shed Skin,,Marvel Scale,1 Atk,Neutral,Water 1,Dragon,45,,1
148,Dragonair,61,84,65,70,70,70,420,Dragon,,Shed Skin,,Marvel Scale,2 Atk,Neutral,Water 1,Dragon,45,Lv. 30,1
149,Dragonite,91,134,95,100,100,80,600,Dragon,Flying,Inner Focus,,Multiscale,3 Atk,Neutral,Water 1,Dragon,45,Lv. 55,1
150,Mewtwo,106,110,90,154,90,130,680,Psychic,,Pressure,,Unnerve,3 SpA,None,-,,3,N,1
151,Mew,100,100,100,100,100,100,600,Psychic,,Synchronize,,,3 HP,None,-,,45,N,1
152,Chikorita,45,49,65,49,65,45,318,Grass,,Overgrow,,Leaf Guard,1 SpD,M (87.5%),Monster,Grass,45,,2
153,Bayleef,60,62,80,63,80,60,405,Grass,,Overgrow,,Leaf Guard,1 Def/1 SpD,M (87.5%),Monster,Grass,45,Lv. 16,2
154,Meganium,80,82,100,83,100,80,525,Grass,,Overgrow,,Leaf Guard,1 Def/2 SpD,M (87.5%),Monster,Grass,45,Lv. 32,2
155,Cyndaquil,39,52,43,60,50,65,309,Fire,,Blaze,,Flash Fire,1 Spe,M (87.5%),Field,,45,,2
156,Quilava,58,64,58,80,65,80,405,Fire,,Blaze,,Flash Fire,1 SpA/1 Spe,M (87.5%),Field,,45,Lv. 14,2
157,Typhlosion,78,84,78,109,85,100,534,Fire,,Blaze,,Flash Fire,3 SpA,M (87.5%),Field,,45,Lv. 36,2
158,Totodile,50,65,64,44,48,43,314,Water,,Torrent,,Sheer Force,1 Atk,M (87.5%),Monster,Water 1,45,,2
159,Croconaw,65,80,80,59,63,58,405,Water,,Torrent,,Sheer Force,1 Atk/1 Def,M (87.5%),Monster,Water 1,45,Lv. 18,2
160,Feraligatr,85,105,100,79,83,78,530,Water,,Torrent,,Sheer Force,2 Atk/1 Def,M (87.5%),Monster,Water 1,45,Lv. 30,2
161,Sentret,35,46,34,35,45,20,215,Normal,,Run Away,Keen Eye,Frisk,1 Atk,Neutral,Field,,255,,2
162,Furret,85,76,64,45,55,90,415,Normal,,Run Away,Keen Eye,Frisk,2 Spe,Neutral,Field,,90,Lv. 15,2
163,Hoothoot,60,30,30,36,56,50,262,Normal,Flying,Insomnia,Keen Eye,Tinted Lens,1 HP,Neutral,Flying,,255,,2
164,Noctowl,100,50,50,86,96,70,452,Normal,Flying,Insomnia,Keen Eye,Tinted Lens,2 HP,Neutral,Flying,,90,Lv. 20,2
165,Ledyba,40,20,30,40,80,55,265,Bug,Flying,Swarm,Early Bird,Rattled,1 SpD,Neutral,Bug,,255,,2
166,Ledian,55,35,50,55,110,85,390,Bug,Flying,Swarm,Early Bird,Iron Fist,2 SpD,Neutral,Bug,,90,Lv. 18,2
167,Spinarak,40,60,40,40,40,30,250,Bug,Poison,Swarm,Insomnia,Sniper,1 Atk,Neutral,Bug,,255,,2
168,Ariados,70,90,70,60,70,40,400,Bug,Poison,Swarm,Insomnia,Sniper,2 Atk,Neutral,Bug,,90,Lv. 22,2
169,Crobat,85,90,80,70,80,130,535,Poison,Flying,Inner Focus,,Infiltrator,3 Spe,Neutral,Flying,,90,Friendship,2
170,Chinchou,75,38,38,56,56,67,330,Water,Electric,Volt Absorb,Illuminate,Water Absorb,1 HP,Neutral,Water 2,,190,,2
171,Lanturn,125,58,58,76,76,67,460,Water,Electric,Volt Absorb,Illuminate,Water Absorb,2 HP,Neutral,Water 2,,75,Lv. 27,2
172,Pichu,20,40,15,35,35,60,205,Electric,,Static,,Lightningrod,1 Spe,Neutral,-,,190,,2
173,Cleffa,50,25,28,45,55,15,218,Fairy,,Cute Charm,Magic Guard,Friend Guard,2 SpD,F (75%),-,,150,,2
174,Igglybuff,90,30,15,40,20,15,210,Normal,Fairy,Cute Charm,,Friend Guard,1 HP,F (75%),-,,170,,2
175,Togepi,35,20,65,40,65,20,245,Fairy,,Hustle,Serene Grace,Super Luck,1 SpD,M (87.5%),-,,190,,2
176,Togetic,55,40,85,80,105,40,405,Fairy,Flying,Hustle,Serene Grace,Super Luck,2 SpD,M (87.5%),Flying,Fairy,75,Friendship,2
177,Natu,40,50,45,70,45,70,320,Psychic,Flying,Synchronize,Early Bird,Magic Bounce,1 SpA,Neutral,Flying,,190,,2
178,Xatu,65,75,70,95,70,95,470,Psychic,Flying,Synchronize,Early Bird,Magic Bounce,1 SpA/1 Spe,Neutral,Flying,,75,Lv. 25,2
179,Mareep,55,40,40,65,45,35,280,Electric,,Static,,Plus,1 SpA,Neutral,Monster,Field,235,,2
180,Flaaffy,70,55,55,80,60,45,365,Electric,,Static,,Plus,2 SpA,Neutral,Monster,Field,120,Lv. 15,2
181,Ampharos,90,75,85,115,90,55,510,Electric,,Static,,Plus,3 SpA,Neutral,Monster,Field,45,Lv. 30,2
182,Bellossom,75,80,95,90,100,50,490,Grass,,Chlorophyll,,Healer,3 SpD,Neutral,Grass,,45,Sun Stone,2
183,Marill,70,20,50,20,50,40,250,Water,Fairy,Thick Fat,Huge Power,Sap Sipper,2 HP,Neutral,Water 1,Fairy,190,Friendship,2
184,Azumarill,100,50,80,60,80,50,420,Water,Fairy,Thick Fat,Huge Power,Sap Sipper,3 HP,Neutral,Water 1,Fairy,75,Lv. 18,2
185,Sudowoodo,70,100,115,30,65,30,410,Rock,,Sturdy,Rock Head,Rattled,2 Def,Neutral,Mineral,,65,Level w/ Mimic,2
186,Politoed,90,75,75,90,100,70,500,Water,,Water Absorb,Damp,Drizzle,3 SpD,Neutral,Water 1,,45,Trade h/ Kings Rock,2
187,Hoppip,35,35,40,35,55,50,250,Grass,Flying,Chlorophyll,Leaf Guard,Infiltrator,1 SpD,Neutral,Fairy,Grass,255,,2
188,Skiploom,55,45,50,45,65,80,340,Grass,Flying,Chlorophyll,Leaf Guard,Infiltrator,2 Spe,Neutral,Fairy,Grass,120,Lv. 18,2
189,Jumpluff,75,55,70,55,95,110,460,Grass,Flying,Chlorophyll,Leaf Guard,Infiltrator,3 Spe,Neutral,Fairy,Grass,45,Lv. 27,2
190,Aipom,55,70,55,40,55,85,360,Normal,,Run Away,Pickup,Skill Link,1 Spe,Neutral,Field,,45,,2
191,Sunkern,30,30,30,30,30,30,180,Grass,,Chlorophyll,Solar Power,Early Bird,1 SpA,Neutral,Grass,,235,,2
192,Sunflora,75,75,55,105,85,30,425,Grass,,Chlorophyll,Solar Power,Early Bird,2 SpA,Neutral,Grass,,120,Sun Stone,2
193,Yanma,65,65,45,75,45,95,390,Bug,Flying,Speed Boost,Compoundeyes,Frisk,2 Spe,Neutral,Bug,,75,,2
194,Wooper,55,45,45,25,25,15,210,Water,Ground,Damp,Water Absorb,Unaware,1 HP,Neutral,Water 1,Field,255,,2
195,Quagsire,95,85,85,65,65,35,430,Water,Ground,Damp,Water Absorb,Unaware,2 HP,Neutral,Water 1,Field,90,Lv. 20,2
